"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3877","userCantDepositWrongAmountTest(double, String) [1] wrongBalance=0, errorMessage=Invalid account or amount","","Sat Dec 20 21:24:09 UTC 2025","passed","Sat Dec 20 21:24:13 UTC 2025","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCantDepositWrongAmountTest"
"","66476","Authorized user can create an account. User dashboard opened. User create anew account. Positive alert. API return an account","","Sat Dec 20 21:24:05 UTC 2025","failed","Sat Dec 20 21:25:11 UTC 2025","","iteration1.ui.CreateAccountTest","iteration1.ui.CreateAccountTest","userCanCreateAccountTest"
"","5873","userCantDepositWrongAmountTest(double, String) [3] wrongBalance=5000.01, errorMessage=Deposit amount exceeds the 5000 limit","","Sat Dec 20 21:24:05 UTC 2025","failed","Sat Dec 20 21:24:10 UTC 2025","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCantDepositWrongAmountTest"
"","2857","User can login. User panel opened. Token saved at local storage","","Sat Dec 20 21:24:09 UTC 2025","passed","Sat Dec 20 21:24:12 UTC 2025","","iteration1.ui.LoginUserTest","iteration1.ui.LoginUserTest","userCanLoginWithCorrectDataTest"
"","6161","userCanCreateAccountTest()","","Sat Dec 20 21:23:58 UTC 2025","passed","Sat Dec 20 21:24:05 UTC 2025","","iteration1.api.CreateAccountTest","iteration1.api.CreateAccountTest","userCanCreateAccountTest"
"","1799","adminCanCreateUserWithCorrectData()","","Sat Dec 20 21:24:04 UTC 2025","passed","Sat Dec 20 21:24:05 UTC 2025","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanCreateUserWithCorrectData"
"","12629","User can change his name","","Sat Dec 20 21:24:03 UTC 2025","failed","Sat Dec 20 21:24:15 UTC 2025","","iteration2.ui.UpdateCustomerProfileTest","iteration2.ui.UpdateCustomerProfileTest","userCanChangeHisNameTest"
"","13626","User can't change his name with name with single word","","Sat Dec 20 21:23:58 UTC 2025","passed","Sat Dec 20 21:24:12 UTC 2025","","iteration2.ui.UpdateCustomerProfileTest","iteration2.ui.UpdateCustomerProfileTest","userCantChangeHisNameWithSingleWordTest"
"","3303","User can transfer money between his own accounts","","Sat Dec 20 21:24:12 UTC 2025","failed","Sat Dec 20 21:24:16 UTC 2025","","iteration2.ui.TransferTest","iteration2.ui.TransferTest","userCanTransferMoneyBetweenHisOwnAccountsTest"
"","6308","userCantUpdateUsernameWithInvalidDataTest(String, String) [1] newName=Kate, errorMessage=Name must contain two words with letters only","","Sat Dec 20 21:24:00 UTC 2025","passed","Sat Dec 20 21:24:06 UTC 2025","","iteration2.api.UpdateCustomerProfileTest","iteration2.api.UpdateCustomerProfileTest","userCantUpdateUsernameWithInvalidDataTest"
"","907","adminCanNotCreateUserWithCorrectData(String, String, String, String, List) [3] username=abc$, password=Password33$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Sat Dec 20 21:24:11 UTC 2025","passed","Sat Dec 20 21:24:12 UTC 2025","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanNotCreateUserWithCorrectData"
"","2883","userCanDepositMoneyOnHisOwnAccountTest()","","Sat Dec 20 21:24:11 UTC 2025","passed","Sat Dec 20 21:24:14 UTC 2025","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCanDepositMoneyOnHisOwnAccountTest"
"","11199","userCanTransferMoneyOnHisOwnAccountTest()","","Sat Dec 20 21:24:03 UTC 2025","passed","Sat Dec 20 21:24:14 UTC 2025","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCanTransferMoneyOnHisOwnAccountTest"
